intro,name,points,rank
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,大鱼,8.7,92
,,,
最不可能的那个人永远是最可能的。,致命ID,8.7,93
,,,
每个人心中都有一座断背山。,断背山,8.7,94
,,,
相逢只要一瞬间，等待却像是一辈子。,甜蜜蜜,8.8,95
,,,
百看不厌。 ,射雕英雄传之东成西就,8.7,96
,,,
我们都曾经是一一。,一一,8.9,97
,,,
没有一人完全善，也没有一人完全恶。,告白,8.7,98
,,,
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,阳光姐妹淘,8.8,99
,,,
约翰尼·德普的独角戏。,加勒比海盗,8.6,100
,,,
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,穿条纹睡衣的男孩,8.9,101
,,,
被上帝抛弃了的上帝之城。,上帝之城,8.9,102
,,,
大时代中的人生，小人物的悲喜。,摩登时代,9.2,103
,,,
绝对意义上的美轮美奂。,阿凡达,8.6,104
,,,
缘分是个连绵词，最美不过一瞬。,爱在黎明破晓前,8.7,105
,,,
年度最佳date movie。,消失的爱人,8.7,106
,,,
动画片的圣经。,风之谷,8.8,107
,,,
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,爱在日落黄昏时,8.7,108
,,,
少女情怀总是诗。,侧耳倾听,8.8,109
,,,
穷尽一生，我们要学会的，不过是彼此拥抱。,超脱,8.8,110
,,,
梦的勾结。,红辣椒,8.9,111
,,,
恐怖分子的“秋菊打官司”。,恐怖直播,8.7,112
,,,
两张绝世的脸。 ,倩女幽魂,8.6,113
,,,
那些静得只能听见呼吸的日子里，你明白孤独即生活。,小森林 夏秋篇,8.9,114
,,,
我是一个演员。,喜剧之王,8.6,115
,,,
和谐的生活离不开摸头与被摸头。,驯龙高手,8.7,116
,,,
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,菊次郎的夏天,8.7,117
,,,
有时候幸福需要等一等。 ,幸福终点站,8.7,118
,,,
幸福是生生不息，却难以触及的远。 ,萤火虫之墓,8.7,119
,,,
曾经的那段美好会沉淀为一辈子的记忆。,借东西的小人阿莉埃蒂,8.7,120
,,,
岁月流逝，来日可追。,岁月神偷,8.6,121
,,,
时代悲歌。,七武士,9.2,122
,,,
关于连环杀人悬案的集体回忆。,杀人回忆,8.7,123
,,,
Mr. I Don't Care其实也有Care的时候。,神偷奶爸,8.5,124
,,,
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,贫民窟的百万富翁,8.5,125
,,,
中国家庭的喜怒哀乐忍。,喜宴,8.8,126
,,,
真相就在眼前。,电锯惊魂,8.7,127
,,,
爱，是个动词。,真爱至上,8.5,128
,,,
像吃了苏打饼一样干脆的电影。,谍影重重3,8.7,129
,,,
大海啊，不全是水。,海洋,9,130
,,,
